sku,product_name,brand
AA0287-002,Tênis Nike Air Force 1 '07 SE Feminino,Nike
AJ1285-406,Tênis Air Max 90 Essential Masculino,Nike
CT1726-100,Tênis Nike Court Vintage Prem Masculino,Nike
942843-008,Tênis Nike Air Vapormax Flyknit 2 Feminino,Nike
AH6834-201,Tênis Nike Air VaporMax Flyknit Utility Masculino,Nike
CT1499-001,Tênis Nike React Infinity Run Flyknit 20 FC Masculino,Nike
CI9960-402,Tênis Nike Flex Experience Rn10 Masculino,Nike
DA1446-100,Tênis Nike Gts 97 Masculino,Nike
AO2918-100,Tênis Nike Kyrie 5 Masculino,Nike
G27636,Tênis adidas U_Path Run Masculino,adidas
DA1925-001,Tênis Nike Air Max 2021 Masculino,Nike
AA1625-407,Tênis Nike Legend React Masculino,Nike
749869-011,Tênis Nike Md Runner 2 Feminino,Nike
AO1521-001,Tênis Nike Air Max 90 MRBL Feminino,Nike
BQ5673-610,Tênis Nike Revolution 5 TD Infantil,Nike
BQ2728-012,Tênis Nike React Element 55 Feminino,Nike
CQ2972,Tênis adidas X PLR J PS Infantil,adidas
FW8385,Tênis adidas X9000 Boost L4 Masculino,adidas
CD6864-003,Tênis Nike Air Max 90 LTR GS Infantil,Nike
CI2668-300,Tênis Nike Lebron XVI Low CP Masculino,Nike
833412-029,Tênis Nike Air Max 90 GS Leather Infantil,Nike
CJ0280-400,Tênis Nike React Phanton Run Fk2 Feminino,Nike
CJ0277-001,Tênis Nike React Phanton Run FK2 Masculino,Nike
DC4520-100,Tênis Nike Air Zoom Pegasus 38 MFS Masculino,Nike
CD6867-004,Tênis Nike Air Max 90 LTR PS Infantil,Nike
AQ0070-600,Tênis Nike Epic React Flyknit Feminino,Nike
FX8381,Tênis adidas X9000 L2 Feminino,adidas
DC2533-002,Tênis Nike Waffle One Feminino,Nike
BQ3207-006,Tênis Nike Revolution 5 Feminino,Nike
BQ3207-008,Tênis Nike Revolution 5 Feminino,Nike
DC3729-500,Tênis Nike Revolution 6 Feminino,Nike
852630-301,Tênis Nike Air Max Plus Masculino,Nike
AH2623,Tênis adidas FortaRun PS/GS Infantil,adidas
BQ5671-076,Tênis Nike Revolution 5 GS Infantil,Nike
FX6035,Tênis adidas Superstar Bold Feminino,adidas
AH5212-600,Tênis Nike Air Max 90 EZ GS Infantil,Nike
DM0850-100,Tênis Nike Blazer Mid 77 Lx Feminino,Nike
807328-017,Tênis Nike MD Runner 2 TD Velcro Infantil,Nike
DA7024-601,Tênis Nike Air Force 1 Fontaka Feminino,Nike
537384-422,Tênis Nike Air Max 90 Essential Masculino,Nike
AJ1285-025,Tênis Nike Air Max 90 Essential Masculino,Nike
BV0129-101,Tênis Nike Air Max 97 SE Feminino,Nike
AT6817-300,Tênis Nike Air Vapormax 2019 PRM Feminino,Nike
D96536,Tênis adidas Alphabounce Instinc Masculino,adidas
CG6586,Tênis adidas Superstar SMR 360 TD Infantil,adidas
